county_name,household_median_income,poverty_rate,snap_rate,unemployment_rate,food_risk_score,risk_level,risk_quartile
"Dimmit County",38808.00,42.2500,44.60,6.20,91.43,"Severe Risk",4
"Starr County",37639.00,33.1400,35.10,8.90,87.55,"Severe Risk",4
"Zapata County",39239.00,37.7400,39.80,6.80,87.03,"Severe Risk",4
"Zavala County",36749.00,35.1200,36.10,6.30,82.16,"Severe Risk",4
"Presidio County",43802.00,34.9000,30.20,6.10,75.69,"Severe Risk",4
"Maverick County",49568.00,22.3000,30.50,8.50,73.16,"Severe Risk",4
"Jim Hogg County",42211.00,31.8600,30.90,3.90,68.22,"Severe Risk",4
"Cameron County",52601.00,24.1700,31.00,6.20,67.18,"Severe Risk",4
"Hidalgo County",54338.00,25.5600,32.00,5.70,66.80,"Severe Risk",4
"Willacy County",54180.00,22.0000,30.80,6.70,66.67,"Severe Risk",4
"Duval County",49038.00,32.0500,25.70,4.40,64.56,"Severe Risk",4
"San Augustine County",50408.00,26.8100,28.90,4.90,64.33,"Severe Risk",4
"Swisher County",36165.00,28.3600,26.10,3.80,64.20,"Severe Risk",4
"Kenedy County",38882.00,6.9000,39.80,5.60,63.73,"Severe Risk",4
"Cochran County",45313.00,26.6300,30.60,3.20,61.77,"Severe Risk",4
"Newton County",42618.00,18.9100,26.30,5.60,61.70,"Severe Risk",4
"Edwards County",40313.00,29.0500,26.90,2.50,60.25,"Severe Risk",4
"Jim Wells County",51896.00,24.4600,24.60,5.00,59.91,"Severe Risk",4
"Shelby County",49776.00,20.2500,24.10,4.80,56.87,"Severe Risk",4
"Jasper County",56723.00,19.7100,23.00,5.50,55.95,"Severe Risk",4
"Real County",39605.00,17.6300,22.20,4.50,55.84,"Severe Risk",4
"Hudspeth County",48600.00,14.8000,32.50,3.60,55.63,"Severe Risk",4
"Kleberg County",61292.00,26.6400,23.90,4.00,55.40,"Severe Risk",4
"La Salle County",57716.00,18.7500,28.70,4.30,55.27,"Severe Risk",4
"Nolan County",50747.00,22.4200,24.00,3.80,55.03,"Severe Risk",4
"Brooks County",47764.00,19.4300,26.00,3.70,54.92,"Severe Risk",4
"Marion County",49672.00,17.8200,20.00,5.40,54.40,"Severe Risk",4
"McMullen County",43875.00,15.8100,21.70,4.90,54.34,"Severe Risk",4
"Terry County",44100.00,16.9900,24.50,3.90,53.95,"Severe Risk",4
"Matagorda County",58628.00,20.4400,20.90,5.00,53.08,"Severe Risk",4
"Jeff Davis County",59286.00,25.8300,18.00,4.50,53.04,"Severe Risk",4
"King County",46645.00,26.0400,22.60,2.10,52.63,"Severe Risk",4
"Val Verde County",66100.00,15.9400,23.20,6.00,52.54,"Severe Risk",4
"Jefferson County",60026.00,18.2600,20.00,5.60,52.45,"Severe Risk",4
"Briscoe County",45417.00,14.7200,28.40,3.10,52.33,"Severe Risk",4
"Potter County",53249.00,19.9000,22.70,3.90,52.17,"Severe Risk",4
"Uvalde County",53801.00,21.3300,20.60,4.10,52.16,"Severe Risk",4
"Dawson County",54360.00,17.1000,25.40,4.00,52.10,"Severe Risk",4
"Tyler County",55396.00,15.8000,21.20,5.30,52.03,"Severe Risk",4
